rank,combo_size,factors_key,label,ret5,ann5,sharpe5,mdd5,win5,trades5,ret1,ret3,ret10,ret20
56,3,profit_forecast+ranking_momentum+insider_buy,盈利预测+排名动量+高管增持,0.7060897859999999,0.4892644342391266,1.2868601604101984,0.20566854223432324,0.536144578313253,332,-0.028483374000000023,0.8394604739999998,0.8104778059999999,0.9604087940000001
57,3,margin+institution_hold+performance,融资融券+机构持股+业绩,0.6930064,0.48074131071109205,0.9602591455231023,0.48916922604946667,0.4759036144578313,332,0.780703,0.6571,0.4072158,0.1351236
58,4,margin+institution_hold+insider_buy+performance,融资融券+机构持股+高管增持+业绩,0.6930064,0.4790276882591302,0.9587308586008911,0.48916922604946667,0.4759036144578313,332,0.780703,0.6571,0.4072158,0.1351236
59,3,profit_forecast+institution_hold+ranking_momentum,盈利预测+机构持股+排名动量,0.6647485160000001,0.4622753562477484,1.1873845605206335,0.16857151429183873,0.5030120481927711,332,0.5116022480000001,0.5336640199999999,0.4835331220000001,0.428342392
60,4,profit_forecast+institution_hold+ranking_momentum+insider_buy,盈利预测+机构持股+排名动量+高管增持,0.6647485160000001,0.4622753562477484,1.1873845605206335,0.16857151429183873,0.5030120481927711,332,0.5116022480000001,0.5336640199999999,0.4835331220000001,0.428342392
61,3,margin+institution_hold+insider_buy,融资融券+机构持股+高管增持,0.6288786,0.438719744247007,0.9067838924295994,0.48916922604946667,0.4759036144578313,332,0.5789948,0.6067002,0.382345,0.1268732
62,4,margin+institution_hold+buyback+performance,融资融券+机构持股+回购+业绩,0.6286135519999999,0.4370029552005379,1.1034530067585437,0.3471117662959224,0.4819277108433735,332,0.784453048,0.6110744539999999,0.394887484,0.177082758
63,5,margin+institution_hold+buyback+insider_buy+performance,融资融券+机构持股+回购+高管增持+业绩,0.6286135519999999,0.4370029552005379,1.1034530067585437,0.3471117662959224,0.4819277108433735,332,0.784453048,0.6110744539999999,0.394887484,0.177082758
64,3,ranking_momentum+insider_buy+performance,排名动量+高管增持+业绩,0.59677515,0.41752541629843987,1.105910184006165,0.22303885282684954,0.5391566265060241,332,0.7209638960000001,0.9977558379999999,0.9879928379999999,1.022573684
65,4,institution_hold+ranking_momentum+buyback+insider_buy,机构持股+排名动量+回购+高管增持,0.594984058,0.414886269215637,1.1105115995578918,0.18518123050674662,0.47289156626506024,332,0.47904531199999995,0.66145639,0.6547787800000001,0.61616551
66,5,profit_forecast+institution_hold+ranking_momentum+buyback+insider_buy,盈利预测+机构持股+排名动量+回购+高管增持,0.556973916,0.3897439724369516,1.0551899034326893,0.23625622201708976,0.5090361445783133,332,0.03595569800000004,0.411228852,0.538318836,0.6749299460000001
67,4,profit_forecast+institution_hold+ranking_momentum+buyback,盈利预测+机构持股+排名动量+回购,0.5424403380000001,0.38140504114428997,1.0410409422185463,0.23621364137218645,0.5090361445783133,332,-0.03975897799999993,0.403189492,0.5345436060000001,0.658648942
